c_id,iso3,country,pop_thousands,pop_prob,sex_ratio,male_ratio,median_age,c_id-2,country-2,sub15,sub65,65plus,region
1,AFG,Afghanistan,41455,0.0051249,101.9,0.5,16.9,1, Afghanistan,0.398,0.574,0.029,Asia
2,ALB,Albania,2812,0.0003476,97.8,0.49,36.3,2, Albania,0.179,0.675,0.146,Europe
3,DZA,Algeria,46164,0.0057071,104.1,0.51,28.2,3, Algeria,0.288,0.643,0.069,Africa
4,ASM,American Samoa,48,0.0000059,102,0.51,28.4,4, American Samoa,0.259,0.659,0.082,Oceania
5,AND,Andorra,81,0.00001,104.7,0.51,43.2,5, Andorra,0.123,0.682,0.195,Europe
6,AGO,Angola,36750,0.0045433,97.9,0.49,16.5,6, Angola,0.472,0.505,0.023,Africa
7,AIA,Anguilla,14,0.0000018,94.5,0.49,38,7, Anguilla,0.21,0.679,0.111,North America
8,ATG,Antigua and Barbuda,93,0.0000115,90.8,0.48,35.5,8, Antigua and Barbuda,0.22,0.679,0.101,North America
9,ARG,Argentina,45538,0.0056297,98.5,0.5,32.1,9, Argentina,0.185,0.684,0.131,South America
10,ARM,Armenia,2943,0.0003639,86.5,0.46,35.8,10, Armenia,0.18,0.675,0.145,Europe
11,ABW,Aruba,108,0.0000133,89.5,0.47,41,11, Aruba (Netherlands),0.173,0.661,0.166,North America
12,AUS,Australia,26451,0.0032701,98.5,0.5,37.8,12, Australia,0.185,0.649,0.166,Oceania
13,AUT,Austria,9130,0.0011288,96.9,0.49,43.1,13, Austria,0.141,0.651,0.208,Europe
14,AZE,Azerbaijan,10318,0.0012756,96.1,0.49,32.6,14, Azerbaijan,0.218,0.696,0.086,Asia
15,BHS,Bahamas,399,0.0000494,91.5,0.48,34.6,15, Bahamas,0.214,0.688,0.098,North America
16,BHR,Bahrain,1570,0.0001941,163.7,0.62,32.9,16, Bahrain,0.181,0.778,0.04,Asia
17,BGD,Bangladesh,171467,0.0211978,96.8,0.49,25.3,17, Bangladesh,0.254,0.671,0.075,Asia
18,BRB,Barbados,282,0.0000349,92.1,0.48,38.9,18, Barbados,0.168,0.676,0.157,North America
19,BLR,Belarus,9116,0.0011269,87.3,0.47,40.5,19, Belarus,0.158,0.668,0.174,Europe
20,BEL,Belgium,11713,0.001448,97.2,0.49,41.4,20, Belgium,0.17,0.631,0.199,Europe
21,BLZ,Belize,411,0.0000508,101.9,0.5,25.9,21, Belize,0.309,0.642,0.049,North America
22,BEN,Benin,14111,0.0017445,100.5,0.5,17.8,22, Benin,0.454,0.522,0.025,Africa
23,BMU,Bermuda,65,0.000008,95.9,0.49,45.1,23, Bermuda,0.165,0.617,0.219,North America
24,BTN,Bhutan,786,0.0000972,115,0.53,29.4,24, Bhutan,0.235,0.7,0.065,Asia
25,BOL,Bolivia (Plurinational State of),12244,0.0015137,100.4,0.5,24.7,25, Bolivia,0.291,0.64,0.068,South America
26,BIH,Bosnia and Herzegovina,3185,0.0003938,90.7,0.48,44.9,26, Bosnia and Herzegovina,0.131,0.69,0.179,Europe
27,BWA,Botswana,2480,0.0003066,99.5,0.5,22.9,27, Botswana,0.292,0.649,0.06,Africa
28,BRA,Brazil,211141,0.0261025,96.9,0.49,33.9,28, Brazil,0.192,0.698,0.11,South America
29,VGB,British Virgin Islands,39,0.0000048,89.5,0.47,37.5,29, British Virgin Islands,0.166,0.719,0.116,North America
30,BRN,Brunei Darussalam,459,0.0000567,113.4,0.53,31.8,30, Brunei,0.218,0.711,0.071,Asia
31,BGR,Bulgaria,6796,0.0008401,93.8,0.48,44.3,31, Bulgaria,0.14,0.652,0.208,Europe
32,BFA,Burkina Faso,23026,0.0028466,99.2,0.5,17.3,32, Burkina Faso,0.422,0.546,0.032,Africa
33,BDI,Burundi,13689,0.0016924,98.7,0.5,15.9,33, Burundi,0.427,0.54,0.033,Africa
34,CPV,Cabo Verde,522,0.0000646,103.5,0.51,27.9,34, Cambodia,0.295,0.654,0.051,Africa
35,KHM,Cambodia,17424,0.002154,96,0.49,25.8,35, Cameroon,0.417,0.551,0.032,Asia
36,CMR,Cameroon,28373,0.0035076,99.4,0.5,17.8,36, Canada,0.157,0.635,0.209,Africa
37,CAN,Canada,39299,0.0048584,98.6,0.5,40.3,37, Cape Verde,0.267,0.672,0.061,North America
38,CYM,Cayman Islands,73,0.000009,100.9,0.5,37.9,38, Cayman Islands,0.175,0.665,0.16,North America
39,CAF,Central African Republic,5152,0.000637,91.9,0.48,14.3,39, Central African Republic,0.388,0.577,0.035,Africa
40,TCD,Chad,19319,0.0023883,100.7,0.5,15.4,40, Chad,0.462,0.513,0.025,Africa
41,CHL,Chile,19659,0.0024303,98.8,0.5,36,41, Chile,0.19,0.673,0.137,South America
42,CHN,China,1422585,0.1758688,104,0.51,39.1,42, China,0.165,0.694,0.141,Asia
43,COL,Colombia,52321,0.0064683,97.4,0.49,31.6,43, Colombia,0.235,0.667,0.099,South America
44,COM,Comoros,850,0.0001051,101.2,0.5,20.3,44, Comoros,0.335,0.62,0.046,Africa
45,COK,Cook Islands,14,0.0000018,96.3,0.49,35.1,45, Cook Islands,0.184,0.662,0.153,Oceania
46,CRI,Costa Rica,5106,0.0006312,97.7,0.49,34.1,46, Costa Rica,0.215,0.686,0.099,North America
47,HRV,Croatia,3896,0.0004817,93.1,0.48,44.8,47, Croatia,0.14,0.634,0.226,Europe
48,CUB,Cuba,11020,0.0013624,97.5,0.49,41.7,48, Cuba,0.164,0.668,0.168,North America
49,CUW,Curacao,185,0.0000229,90.7,0.48,38.2,49, Curaçao,0.193,0.627,0.18,North America
50,CYP,Cyprus,1345,0.0001663,101.5,0.5,37.8,50, Cyprus,0.156,0.704,0.14,Europe
51,CZE,Czechia,10810,0.0013364,97.3,0.49,42.7,51, Czech Republic,0.147,0.642,0.211,Europe
52,COD,Democratic Republic of the Congo,105790,0.0130784,98.5,0.5,15.8,52, Democratic Republic of the Congo,0.46,0.515,0.025,Africa
53,DNK,Denmark,5948,0.0007353,98.8,0.5,41.2,53, Denmark,0.162,0.631,0.206,Europe
54,DJI,Djibouti,1153,0.0001425,98.3,0.5,24.4,54, Djibouti,0.287,0.672,0.042,Africa
55,DMA,Dominica,67,0.0000082,100.3,0.5,35.6,55, Dominica,0.208,0.658,0.134,North America
56,DOM,Dominican Republic,11331,0.0014008,98.9,0.5,27.7,56, Dominican Republic,0.259,0.671,0.07,North America
57,ECU,Ecuador,17980,0.0022228,99.4,0.5,28.4,57, Ecuador,0.245,0.664,0.091,South America
58,EGY,Egypt,114536,0.0141596,102,0.5,24,58, Egypt,0.344,0.603,0.054,Africa
59,SLV,El Salvador,6310,0.00078,90.5,0.48,27,59, El Salvador,0.254,0.664,0.082,North America
60,GNQ,Equatorial Guinea,1848,0.0002284,111.7,0.53,21,60, Equatorial Guinea,0.361,0.59,0.049,Africa
61,ERI,Eritrea,3470,0.000429,97.4,0.49,18.7,61, Eritrea,0.363,0.597,0.04,Africa
62,EST,Estonia,1367,0.000169,90.5,0.47,41.9,62, Estonia,0.156,0.623,0.222,Europe
63,SWZ,Eswatini,1231,0.0001521,96.4,0.49,22,63, Eswatini (Swaziland),0.322,0.639,0.04,Africa
64,ETH,Ethiopia,128692,0.0159097,100.4,0.5,18.7,64, Ethiopia,0.389,0.576,0.035,Africa
65,FRO,Faroe Islands,55,0.0000068,107.1,0.52,37.3,65, Faroe Islands,0.199,0.619,0.182,Europe
66,FJI,Fiji,924,0.0001142,98.5,0.5,27.7,66, Fiji,0.252,0.663,0.085,Oceania
67,FIN,Finland,5601,0.0006925,97.7,0.49,42.8,67, Finland,0.163,0.605,0.233,Europe
68,FRA,France,66439,0.0082136,94.1,0.48,41.8,68, France,0.18,0.605,0.214,Europe
69,PYF,French Polynesia,281,0.0000348,102.4,0.51,34.8,69, French Polynesia,0.206,0.688,0.106,Oceania
70,GAB,Gabon,2485,0.0003072,103.2,0.51,21.5,70, Gabon,0.35,0.608,0.042,Africa
71,GMB,Gambia,2698,0.0003335,99.2,0.5,18.2,71, Gambia,0.389,0.576,0.036,Africa
72,GEO,Georgia,3807,0.0004707,87.3,0.47,36.8,72, Georgia,0.184,0.637,0.18,Asia
73,DEU,Germany,84548,0.0104524,97.5,0.49,45.1,73, Germany,0.138,0.63,0.233,Europe
74,GHA,Ghana,33788,0.0041771,99.8,0.5,20.9,74, Ghana,0.377,0.579,0.044,Africa
75,GIB,Gibraltar,38,0.0000048,99.1,0.5,38.9,75, Gibraltar,0.2,0.626,0.174,Europe
76,GRC,Greece,10243,0.0012663,93.9,0.48,45.7,76, Greece,0.14,0.627,0.233,Europe
77,GRL,Greenland,56,0.0000069,111.2,0.53,34.2,77, Greenland,0.205,0.677,0.119,North America
78,GRD,Grenada,117,0.0000145,100.7,0.5,33.4,78, Grenada,0.222,0.655,0.123,North America
79,GUM,Guam,167,0.0000206,102.8,0.51,31.1,79, Guam (US),0.266,0.629,0.105,Oceania
80,GTM,Guatemala,18125,0.0022407,98.4,0.5,22.6,80, Guatemala,0.32,0.628,0.052,North America
81,GGY,Guernsey,64,0.0000079,97.8,0.49,44,81, Guernsey,0.144,0.645,0.211,Europe
82,GIN,Guinea,14405,0.0017809,97.8,0.49,18,82, Guinea,0.41,0.551,0.04,Africa
83,GNB,Guinea-Bissau,2153,0.0002662,97.6,0.49,18.9,83, Guinea-Bissau,0.425,0.544,0.031,Africa
84,GUY,Guyana,826,0.0001022,94.9,0.49,25.6,84, Guyana,0.237,0.685,0.079,Africa
85,HTI,Haiti,11637,0.0014387,98.1,0.5,23.5,85, Haiti,0.297,0.658,0.046,North America
86,HND,Honduras,10645,0.001316,101.4,0.5,23.5,86, Honduras,0.279,0.662,0.059,North America
87,HKG,Hong Kong SAR,7443,0.0009201,82.1,0.45,46.2,87, Hong Kong,0.13,0.66,0.209,Asia
88,HUN,Hungary,9686,0.0011975,92.3,0.48,43.3,88, Hungary,0.142,0.64,0.218,Europe
89,ISL,Iceland,388,0.0000479,104.9,0.51,35.8,89, Iceland,0.2,0.634,0.166,Europe
90,IND,India,1438070,0.1777831,106.6,0.52,28.1,90, India,0.245,0.687,0.068,Asia
91,IDN,Indonesia,281190,0.0347625,100.9,0.5,29.8,91, Indonesia,0.246,0.677,0.077,Asia
